BT11,BT12,Lat,Long,cloud,Jd,In Situ,SVR,ANN,RF,Delta SVR,Delta ANN,Delta RF
17.628107,17.628107,8.298268,73.057816,1,27,29.5,27.956,28.259,28.902,1.544,1.241,0.598
22.734827,21.668909,14.104073,67.818848,0,78,28.4,28.423,28.761,28.409,-0.023,-0.361,-0.009
25.468073,24.587397,13.323883,68.725945,0,65,28.799999,28.402,28.504,28.683,0.397999,0.295999,0.116999
14.805384,12.759729,5.709192,69.057877,1,250,29.6,29.621,29.696,29.43,-0.021,-0.096,0.17
9.276056,6.233179,8.058035,68.009796,1,30,28.1,28.205,28.141,28.195,-0.105,-0.041,-0.095
25.767237,25.24621,19.082886,67.212082,1,85,28.700001,27.885,27.781,28.61,0.815001,0.919001,0.090001
23.598597,22.789698,6.509513,76.425339,0,24,27.799999,28.455,28.31,27.849,-0.655001,-0.510001,-0.049001
23.887506,22.436548,8.320375,72.766823,1,74,29.700001,29.582,29.454,29.401,0.118001,0.246001,0.299001
19.568659,17.947321,11.370189,66.087265,1,133,30.6,30.229,30.682,30.958,0.371,-0.082,-0.358
3.655939,0.808862,5.77922,66.456833,1,162,30,29.878,29.703,30.088,0.122,0.297,-0.088
22.950098,21.541132,8.314533,72.760727,1,72,29.4,29.41,29.371,29.498,-0.01,0.029,-0.098
19.853296,17.516169,3.501086,72.801437,1,306,31.6,30.013,29.472,30.725,1.587,2.128,0.875
22.859766,22.059076,13.075705,58.885296,0,17,26.299999,26.311,25.912,26.106,-0.011001,0.387999,0.193999
-15.694921,-20.403433,8.320019,72.777695,1,162,29.4,29.571,29.572,29.326,-0.171,-0.172,0.074
20.047052,18.193415,5.259982,65.948074,0,185,29.5,29.553,29.448,29.525,-0.053,0.052,-0.025
-1.367224,-1.367224,8.30283,73.053391,1,8,28.6,28.014,28.043,28.239,0.586,0.557,0.361
22.289454,21.040277,14.250457,68.811104,1,17,27.799999,27.379,27.316,27.735,0.420999,0.483999,0.064999
-53.548607,-54.938759,11.747849,66.030518,1,164,29.5,29.529,29.074,29.468,-0.029,0.426,0.032
-9.405127,-14.420385,14.126096,69.988304,1,161,29.6,29.517,29.904,29.579,0.083,-0.304,0.021
24.989527,23.567682,12.929571,71.155701,1,85,29.9,30.065,29.46,29.955,-0.165,0.44,-0.055
-48.046577,-47.982582,11.810388,66.542572,1,142,30.700001,30.336,30.375,30.595,0.364001,0.325001,0.105001
-63.048241,-63.16375,14.203395,65.682922,1,153,30.200001,30.139,29.992,30.164,0.061001,0.208001,0.036001
21.513697,19.632929,4.623271,64.485481,0,178,30.4,29.766,29.455,30.389,0.634,0.945,0.011
-38.621254,-40.29554,18.474998,67.443291,1,184,28.700001,29.124,28.725,28.7,-0.423999,-0.024999,1E-06
21.9284,19.999445,4.977429,63.242657,0,361,29.5,29.189,28.858,29.547,0.311,0.642,-0.047
23.569147,23.017237,17.534882,67.410446,0,21,26.1,26.079,26.085,26.16,0.021,0.015,-0.06
18.374445,16.96731,13.177477,64.492058,1,269,27.299999,27.618,27.806,27.578,-0.318001,-0.506001,-0.278001
-16.687902,-19.836065,7.799127,68.760162,1,41,28.1,28.279,28.298,28.219,-0.179,-0.198,-0.119
17.058405,15.251856,11.231516,65.927567,1,194,28.4,28.194,28.071,28.467,0.206,0.329,-0.067
20.45373,19.856287,23.336323,60.890789,1,50,22.9,22.925,22.928,22.848,-0.025,-0.028,0.052
22.134089,21.044428,9.29414,65.409973,1,35,27.5,27.728,27.8,27.623,-0.228,-0.3,-0.123
21.052546,19.935022,19.050381,68.173866,0,40,24.700001,25.557,25.75,24.821,-0.856999,-1.049999,-0.120999
21.96731,21.286585,14.257401,68.63269,1,20,27.200001,27.286,27.29,27.188,-0.085999,-0.089999,0.012001
21.073114,18.88183,11.884496,67.801636,1,139,30.200001,30.44,30.74,30.25,-0.239999,-0.539999,-0.049999
20.269434,19.398127,6.275411,53.481655,1,27,26.200001,26.304,25.972,26.312,-0.103999,0.228001,-0.111999
13.160791,11.553644,14.501919,70.639221,1,172,29,29.185,29.093,29.042,-0.185,-0.093,-0.042
25.523829,24.447992,10.460844,72.3228,0,322,29.299999,29.21,29.004,29.17,0.089999,0.295999,0.129999
-39.77578,-39.745384,3.94389,71.263527,1,241,29.9,28.847,29.132,29.632,1.053,0.768,0.268
24.539087,23.775995,9.896268,64.641273,0,40,27.799999,27.649,27.634,27.756,0.150999,0.165999,0.043999
2.991113,-2.785529,12.916835,73.781647,1,189,29,29.011,28.632,28.949,-0.011,0.368,0.051
-30.327444,-32.67704,6.265029,75.399483,1,202,28.299999,28.873,28.608,28.421,-0.573001,-0.308001,-0.121001
19.789942,17.42428,4.204777,72.686768,1,217,29.5,29.957,29.533,29.599,-0.457,-0.033,-0.099
21.796473,21.048853,12.490659,72.054619,1,20,27.700001,28.271,28.26,27.735,-0.570999,-0.559999,-0.034999
23.50561,22.36825,12.546611,65.987511,0,28,28,27.64,27.548,27.931,0.36,0.452,0.069
15.929651,13.695795,13.588682,68.511986,1,172,29.299999,29.389,29.138,29.445,-0.089001,0.161999,-0.145001
22.63891,21.483057,10.476892,72.275154,1,25,27.6,28.468,28.268,27.595,-0.868,-0.668,0.005
-2.817084,-5.626807,11.945876,74.161804,1,219,27.700001,28.116,27.818,27.896,-0.415999,-0.117999,-0.195999
26.8706,25.921076,12.880148,65.605972,1,111,29.9,30.073,29.733,30.444,-0.173,0.167,-0.544
-26.503469,-27.47901,12.980022,72.854904,1,295,29.5,29.519,29.622,29.447,-0.019,-0.122,0.053
25.93017,25.504877,17.918674,68.16407,0,76,27.6,28.022,28.278,27.641,-0.422,-0.678,-0.041
22.3211,20.549372,11.502909,69.74614,0,153,30.700001,30.185,30.312,30.442,0.515001,0.388001,0.258001
20.283533,19.327234,24.983112,54.001263,0,362,24,24.435,23.223,24.019,-0.435,0.777,-0.019
25.538355,24.384516,12.686235,65.406845,1,127,30.5,30.539,30.41,30.41,-0.039,0.09,0.09
-61.417946,-62.806557,9.600602,71.792274,1,207,28,28.135,27.968,28.011,-0.135,0.032,-0.011
17.079035,15.123316,8.683988,63.678093,1,310,28.799999,28.7,28.635,28.666,0.099999,0.164999,0.133999
25.508661,24.351801,12.410584,63.91151,0,120,30.1,30.395,30.362,30.719,-0.295,-0.262,-0.619
26.550165,25.686945,17.322674,68.864395,1,108,30.5,29.927,29.841,30.532,0.573,0.659,-0.032
-52.104622,-53.197334,9.612285,69.613403,1,206,28.1,28.333,27.97,28.068,-0.233,0.13,0.032
-60.054146,-60.186623,3.315689,66.32106,1,210,29.1,29.14,29.242,29.707,-0.04,-0.142,-0.607
16.250544,14.133478,12.815061,68.93354,1,142,30.6,30.485,30.7,30.516,0.115,-0.1,0.084
23.610865,22.143274,13.163863,68.261452,0,125,30.1,30.353,30.909,30.125,-0.253,-0.809,-0.025
12.77865,10.250757,4.720598,70.717865,1,294,29.200001,29.489,29.582,29.436,-0.288999,-0.381999,-0.235999
-29.229666,-30.521002,18.112274,72.979416,1,206,28.799999,27.829,28.139,28.596,0.970999,0.660999,0.203999
24.251123,23.22024,8.770085,62.914886,0,266,29,29.368,29.146,28.916,-0.368,-0.146,0.084
-1.519537,-5.05567,17.028866,70.748062,1,234,28.299999,27.953,27.604,28.301,0.346999,0.695999,-0.001001
19.134668,17.3482,4.428888,65.133568,1,194,29.1,29.195,29.219,29.206,-0.095,-0.119,-0.106
21.184198,19.331781,12.170368,71.904022,1,137,30.4,30.58,30.725,30.283,-0.18,-0.325,0.117
16.672297,14.347284,4.999028,63.867779,1,358,28.700001,28.632,28.294,28.905,0.068001,0.406001,-0.204999
-46.37635,-48.085381,14.114652,68.536293,1,151,29.4,30.055,30.21,29.748,-0.655,-0.81,-0.348
23.937372,22.461176,13.185137,65.185875,1,106,29.799999,29.71,29.64,30.148,0.089999,0.159999,-0.348001
24.055658,24.055658,8.293818,73.062447,1,35,29,28.463,28.384,29.086,0.537,0.616,-0.086
-6.361243,-8.354712,4.165174,64.81881,1,181,29.4,29.387,29.274,29.39,0.013,0.126,0.01
20.978846,19.557734,17.404816,68.144936,1,103,28.6,29.307,29.495,28.646,-0.707,-0.895,-0.046
